Trajectories
100
,,1 0,,,1 1,,,1 2,,,1 3,,,1 4,,,1 5,,,1 6,,,1 7,,,1 8,,,1 9,,,1 10,,,1 11,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-107.547,-109.416,434.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,-108.427,-109.237,434.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,-108.901,-109.018,434.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,-109.365,-108.701,434.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,-109.604,-108.328,434.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,-109.627,-107.952,434.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,-109.728,-107.569,434.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,-109.773,-107.117,434.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,-109.633,-106.864,434.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,-109.487,-106.583,434.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,-109.251,-106.385,434.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,-109.013,-106.34,434.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,-108.744,-106.348,434.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,-108.647,-106.488,434.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,-108.525,-106.61,434.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,-108.37,-106.636,434.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,-108.272,-106.67,434.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,-108.056,-106.786,434.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,-107.577,-106.845,434.406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,-107.026,-107.05,434.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,-106.68,-107.084,434.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,-106.237,-107.153,434.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,-105.592,-107.205,434.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,-105.151,-107.304,434.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,-104.819,-107.351,434.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,-104.578,-107.206,434.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,-104.342,-107.104,434.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,-104.138,-106.938,434.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,-103.923,-106.736,434.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,-103.73,-106.405,434.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,-103.558,-106.012,435.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,-103.349,-105.661,435.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0,-103.277,-105.099,435.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0,-103.244,-104.549,435.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0,-103.366,-103.875,435.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,-103.809,-103.38,436.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,-103.982,-102.781,436.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,-104.525,-102.054,436.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,-104.882,-101.487,436.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,-105.245,-100.952,436.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,-105.456,-100.392,437.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,-105.581,-100.012,437.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,-105.333,-99.5526,437.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,-104.975,-99.0687,437.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,-105.149,-99.2798,437.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,-104.456,-98.9026,437.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,-103.586,-98.5166,437.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,-102.665,-98.3892,438.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,-101.929,-98.2666,438.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,-101.057,-98.0141,438.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,-99.8669,-97.975,438.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,-99.0952,-98.1514,438.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,-98.479,-98.6097,439.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,-97.735,-99.0191,439.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,-97.1435,-99.362,439.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,-96.4228,-99.7702,439.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,-95.7247,-100.091,439.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,-95.227,-100.381,439.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,-94.699,-100.717,439.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,-94.1606,-101.067,439.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,-93.8549,-101.305,439.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,-93.5673,-101.599,439.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,-93.4183,-102.023,439.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,-93.4253,-102.495,439.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,-93.5825,-103.019,439.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,-93.6843,-103.433,439.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,-93.8338,-103.842,439.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,-93.9906,-104.16,439.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,-94.0272,-104.462,439.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,-93.985,-104.619,438.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,-93.9429,-104.887,438.743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,-93.7303,-105.127,438.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,-93.7183,-105.421,438.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,-93.7199,-106,437.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,-93.6198,-106.637,437.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,-93.6574,-107.379,437.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,-93.6805,-107.956,437.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,-93.6535,-108.855,437.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,-93.2558,-109.904,436.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,-92.8373,-110.915,436.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,-92.5221,-112.187,436.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,-92.2327,-113.368,436.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,-91.6928,-114.716,435.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,-91.1783,-116.125,435.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,-90.6068,-117.764,435.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,-90.1449,-119.322,435.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,0,-89.7095,-120.864,435.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,-89.0912,-122.372,434.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,-88.5162,-123.977,434.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,-88.1297,-125.733,434.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,-87.9777,-127.324,434.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,-87.6473,-129.077,434.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,-87.2883,-130.532,434.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,-87.3912,-132.074,434.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,-87.4707,-133.54,434.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,-87.6197,-134.926,434.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,-87.9188,-136.145,434.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,-88.2144,-137.501,434.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,-88.4754,-138.751,433.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0,-88.8706,-140.165,433.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,0,-89.2978,-141.558,433.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0,-89.9197,-143.154,433.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,-90.342,-144.555,433.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0,-90.7593,-145.878,433.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0,-91.3715,-147.158,433.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0,-91.7233,-148.655,433.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,-92.2718,-149.944,433.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0,-92.6667,-151.374,433.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,0,-93.0842,-152.399,433.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0,-93.589,-153.495,433.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,-93.6757,-154.749,433.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0,-93.8534,-155.93,433.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,-93.9099,-156.856,433.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0,-93.829,-157.71,433.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,-93.3692,-158.81,434.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0,-93.0179,-159.715,434.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,0,-92.5272,-160.572,435.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,0,-91.779,-161.603,435.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,0,-90.7353,-162.408,435.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0,-89.955,-163.021,436.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,0,-88.5961,-163.575,436.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,0,-87.3958,-164.398,436.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,0,-86.1262,-165.048,437.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,0,-84.8314,-165.854,437.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0,-83.7491,-166.41,438.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0,-82.5342,-167.217,438.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,0,-81.5155,-167.893,439.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,0,-80.7453,-168.409,439.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0,-80.1013,-168.989,440.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,0,-79.3474,-169.458,440.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,0,-78.4857,-169.636,441.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0,-77.7462,-169.547,442.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,0,-77.1323,-169.363,443.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,0,-76.1419,-168.74,443.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0,-75.2763,-168.452,444.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,0,-74.6833,-167.603,445.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,0,-74.2004,-166.945,445.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0,-73.4674,-166.248,446.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,0,-72.9933,-165.514,446.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0,-72.8276,-164.774,447.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0,-72.5961,-163.907,447.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,0,-72.2813,-163.208,447.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,0,-72.0418,-162.249,448.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0,-71.7089,-161.466,448.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,0,-71.3795,-160.431,448.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0,-71.1215,-159.426,448.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0,-70.6573,-158.391,448.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,0,-70.1439,-157.242,448.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,0,-69.6948,-156.314,448.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0,-69.5452,-155.159,448.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,0,-69.275,-154.092,448.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,0,-69.1691,-153.282,448.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,0,-69.0153,-152.454,448.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0,-68.8286,-151.499,448.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0,-68.7538,-150.602,448.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0,-68.4391,-149.795,448.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,0,-68.0285,-148.772,448.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0,-67.2203,-147.47,448.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0,-66.5718,-146.111,448.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0,-65.5576,-144.623,449.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0,-64.4725,-142.766,449.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0,-63.4333,-140.773,449.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0,-62.0598,-138.655,449.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0,-61.2428,-136.463,449.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,0,-60.1952,-134.314,449.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,0,-59.5772,-132.552,450.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0,-59.3451,-130.482,450.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,0,-59.0337,-128.379,450.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0,-59.3823,-127.112,450.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,0,-59.4474,-124.764,450.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,0,-59.2079,-122.189,450.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0,-59.252,-119.523,450.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0,-58.8737,-117.057,450.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,0,-58.2899,-113.811,451.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0,-58.3508,-110.884,451.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0,-58.6989,-108.106,451.591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0,-58.8727,-105.307,451.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0,-59.1135,-102.569,451.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,0,-59.7757,-100.17,451.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0,-60.1893,-97.9005,451.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0,-61.0409,-95.7318,451.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,0,-61.609,-94.019,451.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,0,-62.4622,-92.4963,451.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,0,-63.3289,-91.0917,450.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0,-64.0306,-89.7987,450.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,0,-64.5947,-88.7427,449.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,0,-64.7523,-88.0635,449.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,0,-64.6286,-87.0248,448.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0,-64.577,-85.9557,447.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,0,-64.5396,-85.237,447.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0,-64.336,-84.2862,446.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,0,-64.0152,-83.4926,445.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,0,-63.9115,-83.0189,444.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,0,-63.7613,-82.8536,444.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,0,-63.7341,-82.3962,443.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0,-63.5681,-82.3464,442.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,0,-63.344,-82.1791,442.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0,-63.1513,-82.1067,441.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0,-62.9219,-82.1279,441.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0,-62.7338,-81.903,440.783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,0,-62.0164,-81.4337,439.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,0,-61.4331,-80.8415,439.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0,-61.0981,-80.1512,439.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0,-60.3558,-79.2479,438.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,0,-59.774,-78.2987,437.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0,-58.9622,-77.1637,437.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0,-58.3678,-76.1192,436.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0,-58.0683,-74.5022,436.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
